Date,Type,Price
01-07-2010,Peak,1.666667
08-07-2010,Valley,1.164
12-07-2010,Peak,1.196667
14-07-2010,Valley,1.322667
20-07-2010,Peak,1.456667
22-07-2010,Valley,1.4
26-07-2010,Peak,1.433333
02-08-2010,Valley,1.394667
05-08-2010,Peak,1.436
13-08-2010,Valley,1.221333
18-08-2010,Peak,1.306
20-08-2010,Valley,1.273333
27-08-2010,Peak,1.316667
01-09-2010,Valley,1.363333
07-09-2010,Peak,1.374
08-09-2010,Valley,1.393333
10-09-2010,Peak,1.383333
14-09-2010,Valley,1.408
17-09-2010,Peak,1.401333
21-09-2010,Valley,1.384667
22-09-2010,Peak,1.391333
24-09-2010,Valley,1.34
30-09-2010,Peak,1.466667
04-10-2010,Valley,1.399333
06-10-2010,Peak,1.404
12-10-2010,Valley,1.349333
15-10-2010,Peak,1.392667
20-10-2010,Valley,1.376667
28-10-2010,Peak,1.426
29-10-2010,Valley,1.456
02-11-2010,Peak,1.445333
03-11-2010,Valley,1.451333
09-11-2010,Peak,1.666667
10-11-2010,Valley,1.957333
16-11-2010,Peak,2.066667
19-11-2010,Valley,2.066
29-11-2010,Peak,2.360667
30-11-2010,Valley,2.355333
02-12-2010,Peak,2.267333
07-12-2010,Valley,2.104
09-12-2010,Peak,2.167333
16-12-2010,Valley,2.054
22-12-2010,Peak,2.15
29-12-2010,Valley,1.848667
30-12-2010,Peak,1.846667
03-01-2011,Valley,1.774667
04-01-2011,Peak,1.777333
05-01-2011,Valley,1.788667
11-01-2011,Peak,1.906
24-01-2011,Valley,1.632667
28-01-2011,Peak,1.658667
01-02-2011,Valley,1.594
02-02-2011,Peak,1.610667
07-02-2011,Valley,1.538
09-02-2011,Peak,1.608667
11-02-2011,Valley,1.55
14-02-2011,Peak,1.576
16-02-2011,Valley,1.648667
18-02-2011,Peak,1.555333
24-02-2011,Valley,1.502
08-03-2011,Peak,1.64
16-03-2011,Valley,1.521333
18-03-2011,Peak,1.546
24-03-2011,Valley,1.488667
04-04-2011,Peak,1.788667
05-04-2011,Valley,1.78
08-04-2011,Peak,1.838667
14-04-2011,Valley,1.676
18-04-2011,Peak,1.675333
19-04-2011,Valley,1.677333
02-05-2011,Peak,1.84
05-05-2011,Valley,1.762667
06-05-2011,Peak,1.793333
09-05-2011,Valley,1.860667
11-05-2011,Peak,1.88
13-05-2011,Valley,1.836667
16-05-2011,Peak,1.866
18-05-2011,Valley,1.756667
23-05-2011,Peak,1.841333
25-05-2011,Valley,1.932
01-06-2011,Peak,2.0
03-06-2011,Valley,2.008667
06-06-2011,Peak,2.006667
10-06-2011,Valley,1.857333
15-06-2011,Peak,1.896
21-06-2011,Valley,1.835333
08-07-2011,Peak,1.992667
12-07-2011,Valley,1.878
14-07-2011,Peak,1.902
19-07-2011,Valley,1.859333
25-07-2011,Peak,1.934
29-07-2011,Valley,1.878
02-08-2011,Peak,1.912667
